CHEVROLET|1|A
CITROEN|1|A
HYUNDAI|1|A
TOYOTA|1|A
RENAULT|1|A
KIA|1|A
FORD|1|A
SUZUKI|1|A
PEUGEOT|1|A
SKODA|1|A
MAZDA|1|A
NISSAN|1|A
VOLKSWAGEN|1|A
MITSUBISHI|1|A
GREAT WALL|1|A
SOUEAST|1|A
SSANGYONG|2|A
RAM|2|A
FAW|2|A
GOLDEN DRAGON|2|A
ENRANGER|2|A
BEIBEN|2|A
LANDWIND|2|A
OTAWA|2|A
DAF|2|A
JMC|2|A
JINBEI HAISE|2|A
SHINERAY|2|A
YUTONG|2|A
MAHINDRA|2|A
WESTERN START|2|A
JOYLONG|2|A
JMCGL|2|A
MK|2|A
GAC|2|A
MG|2|A
ZXAUTO|2|A
BRILLIANCE|2|A
FACTORY BIKE|2|A
GALARDI|2|A
TATA|2|A
SAIC WULING|2|A
DFSK|3|A
CHERY|3|A
CHANGAN|3|A
ZOTYE|3|A
FOTON|3|A
BAIC|3|A
BYD|3|A
DONGFENG|3|A
DAYTONA|3|A
JETOUR|3|A
LIFAN|3|A
BAJAJ|3|A
MOTOR UNO|3|A
BMW|4|A
KTM|4|A
HONDA|4|A
MERCEDES BENZ|4|A
MACK|4|A
FREIGHTLINER|4|A
AUDI|4|A
JEEP|4|A
FIAT|4|A
LEXUS|4|A
DAIHATSU|4|A
KENWORTH|4|A
NIMBUS|4|A
SINOTRUK|4|A
MAN|4|A
INTERNACIONAL|4|A
VOLVO|4|A
PORSCHE|4|A
LAND ROVER|4|A
KAWASAKI|4|A
OTRAS|4|A
QMC|4|A
ADVANCE|4|A
WRANGLER|4|A
ROYAL ENFIELD|4|A
GMC|4|A
DODGE|4|A
DAEWOO|4|A
MINI|4|A
MORRIS|4|A
TEKNO|4|A
JIALING|4|A
YAMAHA|4|A
TIANYE|4|A
HUMMER|4|A
KING LONG|4|A
FURGON|4|A
ICS|4|A
POLARIS|4|A
HARLEY DAVIDSON|4|A
AUSTIN|4|A
RANGE ROVER|4|A
LADA|4|A
SUKIDA|4|A
VESPA|4|A
FORLAND|4|A
HINO|5|A
JAC|5|A
INDIVIDUALES|6|A
FLOTAS|6|A
OTROS|6|A
GUAYAQUIL|7|A
QUITO|7|A
CUENCA|7|A
LIVIANO|8|A
MOTO|8|A
PESADO|8|A
